Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date,temperature_2m,temperature_min,temperature_max,precipitation,humidity,pressure,wind_speed,cloud_cover,gdd_daily,gdd_cumulative
2024-04-29,209,0.7248914334416106,0.6905054334416105,0.7592774334416106,0.8212734763451579,0.7721506192023008,0.8703963334880152,82.12734763451579,77.21506192023007,87.03963334880152,Grain Filling,2023-10-03,2024-07-30,14.1,8.0,20.5,0.1,69,1020.6,7.4,81,14.25,1405.1000000000004
2024-04-30,210,0.7274397689170614,0.6930537689170614,0.7618257689170614,0.824913955595802,0.7757910984529448,0.8740368127386592,82.49139555958021,77.57910984529448,87.40368127386591,Grain Filling,2023-10-03,2024-07-30,17.5,9.9,24.9,0.0,62,1014.5,8.0,48,17.4,1422.5000000000005
2024-05-01,211,0.7298808189370518,0.6954948189370518,0.7642668189370518,0.8284011699100741,0.7792783127672168,0.8775240270529312,82.8401169910074,77.92783127672168,87.75240270529312,Grain Filling,2023-10-03,2024-07-30,17.1,10.2,23.7,0.0,59,1005.8,11.1,48,16.95,1439.4500000000005
2024-05-02,212,0.7322045753226556,0.6978185753226556,0.7665905753226556,0.831720821889508,0.7825979647466508,0.8808436790323652,83.1720821889508,78.25979647466508,88.08436790323651,Grain Filling,2023-10-03,2024-07-30,15.6,10.9,20.9,2.3,68,1000.5,12.1,73,15.899999999999999,1455.3500000000006
2024-05-03,213,0.7343986119954381,0.7000126119954381,0.7687846119954381,0.834855159993483,0.7857323028506258,0.8839780171363402,83.48551599934831,78.57323028506258,88.39780171363401,Grain Filling,2023-10-03,2024-07-30,11.0,9.2,13.6,0.2,74,1013.0,16.4,93,11.399999999999999,1466.7500000000007
2024-05-04,214,0.7364499221161049,0.7020639221161049,0.770835922116105,0.8377856030230071,0.7886627458801498,0.8869084601658642,83.7785603023007,78.86627458801499,88.69084601658642,Grain Filling,2023-10-03,2024-07-30,12.0,5.6,17.2,0.0,71,1015.4,7.3,74,11.399999999999999,1478.1500000000008
2024-05-05,215,0.7383451641685432,0.7039591641685432,0.7727311641685433,0.8404930916693475,0.7913702345264904,0.8896159488122047,84.04930916693475,79.13702345264903,88.96159488122048,Grain Filling,2023-10-03,2024-07-30,13.2,10.2,16.5,7.6,79,1011.4,13.2,88,13.35,1491.5000000000007
2024-05-06,216,0.7400706774316268,0.7056846774316268,0.7744566774316268,0.8429581106166097,0.7938352534737525,0.8920809677594669,84.29581106166097,79.38352534737525,89.20809677594669,Grain Filling,2023-10-03,2024-07-30,13.2,10.3,18.2,11.9,85,1009.4,11.2,96,14.25,1505.7500000000007
2024-05-07,217,0.7416125126595154,0.7072265126595154,0.7759985126595155,0.8451607323707364,0.7960378752278792,0.8942835895135935,84.51607323707364,79.60378752278791,89.42835895135936,Grain Filling,2023-10-03,2024-07-30,11.4,9.0,14.7,1.8,85,1015.6,14.8,99,11.85,1517.6000000000006
2024-05-08,218,0.7429564804326342,0.7085704804326342,0.7773424804326342,0.8470806863323346,0.7979578291894773,0.8962035434751917,84.70806863323345,79.79578291894774,89.62035434751917,Grain Filling,2023-10-03,2024-07-30,10.4,8.4,12.8,0.6,82,1023.5,10.6,93,10.600000000000001,1528.2000000000005
